Wavelength,n_0.8,n_0.9,n_1.0,n_1.1,n_1.2,n_1.3,n_1.4,n_1.5,n_1.6,n_1.7,n_1.8,n_1.9,n_2.0,n_2.1,n_2.2,n_2.3,n_2.4
2057,0.019106603513278864,0.01910660410889974,0.01910660694842594,0.019106618438931328,0.019106655496065425,0.019106754666476336,0.019106983574768137,0.019107453061760014,0.01910832814166893,0.019109836202270546,0.01911227147479743,0.01911599546352768,0.019121433581117047,0.01912906861111395,0.01913943181015346,0.01915309250328692,0.019170646963504293
2058,0.019096174694909575,0.01909617536701903,0.01909617854065006,0.01909619125496178,0.019096231912367888,0.019096339938007186,0.01909658775242017,0.019097093301854044,0.019098031190408826,0.01909964081100163,0.019102230524764417,0.019106177633419034,0.019111924457621304,0.019119971207158498,0.019130866508683998,0.019145196482862684,0.01916357318572147
2059,0.01908574773957339,0.01908574849378558,0.01908575202260375,0.019085766025235987,0.01908581044134011,0.01908592764697368,0.019086194942741736,0.01908673745733954,0.01908773943134514,0.01908945225611563,0.019092198344399392,0.019096370634278194,0.019102428107117233,0.01911088806925133,0.019122316114853183,0.019137314698506602,0.01915651115425852
2060,0.019075322663138418,0.01907532347569627,0.019075327254990823,0.01907534215903205,0.019075389187564924,0.01907551273769729,0.019075793432341295,0.019076361263997272,0.019077406967722147,0.019079189985974045,0.01908204212227109,0.019086366724871604,0.01909263382693972,0.01910137203541549,0.01911315811999073,0.01912860525435463,0.01914835076029469
2061,0.01906489942906568,0.01906490034805053,0.019064904580493765,0.019064921101876648,0.01906497278504381,0.019065107572542667,0.019065411878934905,0.019066024128527367,0.019067146258928497,0.019069051537069007,0.01907208782340646,0.01907667619570584,0.019083305438008943,0.019092523259250736,0.0191049252497767,0.019121142566797467,0.01914182922141406
2062,0.01905447806337427,0.01905447908825838,0.01905448376732422,0.019054501867460445,0.019054558057262732,0.019054703649774934,0.01905503052497669,0.019055685012158628,0.01905687948990918,0.019058900040752367,0.01906210933626547,0.01906694473141784,0.019073912147588804,0.019083576674826557,0.01909655095268372,0.019113482354815824,0.01913503986861065
2063,0.01903364099903231,0.0190336421134338,0.019033647167089003,0.019033666580785525,0.01903372649482313,0.019033880965152447,0.01903422629215806,0.01903491516370031,0.01903616831542518,0.019038282041268884,0.0190416307646752,0.01904666470438886,0.01905390327337527,0.019063925193478777,0.019077356424752667,0.019094856960595867,0.019117107393618094
2064,0.019023225230174433,0.019023226471350792,0.01902323205124618,0.019023253295622353,0.01902331836516026,0.01902348505516696,0.019023855655698706,0.019024591424133496,0.019025924304489208,0.01902816422556521,0.01903170123821971,0.019037002601007515,0.019044605531815025,0.019055106676681376,0.01906914944609978,0.01908741030290855,0.019110584923371966
2065,0.019012811312199875,0.019012812721199264,0.01901281899094847,0.01901284261180961,0.019012914318729545,0.019013096630775987,0.019013499347845027,0.019014294400318127,0.01901572760813417,0.019018125687378255,0.019021897831191355,0.01902753206954786,0.019035587223063997,0.01904668158496906,0.019061479542431866,0.019080677259403038,0.019104988360768852
2066,0.019002399303099608,0.019002400802240884,0.01900240743967815,0.01900243231735882,0.01900250751137718,0.019002697984909576,0.019003117400104467,0.019003943146968752,0.019005428109100914,0.019007907510315034,0.019011800204735144,0.019017604664196223,0.019025890527553824,0.01903728688742709,0.01905246855545981,0.019072141446502107,0.01909702802978329
2067,0.018991989124048283,0.018991990801031984,0.01899199815856386,0.018992025479767118,0.01899210741178633,0.018992313573381693,0.01899276494249943,0.01899364919934904,0.018995232481425244,0.01899786591059187,0.019001986325127236,0.019008111564214794,0.019016831261754637,0.019028794401170144,0.019044694926432064,0.019065256581986826,0.019091217943509646
2068,0.01898158080633855,0.018981582686333372,0.01898159085812503,0.018981620916468742,0.018981710336166767,0.018981933813808,0.018982420248703967,0.018983368391038338,0.01898505855329809,0.018987858769081663,0.01899222491169103,0.018998695221611066,0.019007880297637926,0.019020449882594225,0.01903711779402318,0.01905862620438997,0.019085730245230265
2069,0.01897117439125301,0.01897117641153367,0.018971185141675083,0.01897121706250243,0.018971311543999565,0.018971546662880628,0.018972056559879602,0.01897304727093429,0.018974808392854488,0.018977718986895282,0.01898224728695065,0.01898894472872996,0.018998435418292905,0.019011402421585853,0.019028572260025876,0.019050698836079447,0.019078547770262525
2070,0.01896076981261467,0.018960772055375538,0.018960781664414887,0.018960816495438883,0.0189609188370055,0.018961171937397797,0.018961717911021466,0.018962773821303795,0.01896464325310493,0.01896772181227909,0.018972496203966835,0.0189795375081617,0.018989489865937362,0.019003056032574468,0.019020981232709244,0.01904403656867069,0.019073002972263844
2071,0.018950367083186172,0.01895036960668526,0.018950380314407572,0.018950418749796864,0.018950530750185563,0.018950805800602818,0.018951395562321102,0.018952530217381885,0.018954529894690157,0.018957809663299473,0.01896287784919445,0.018970328416037966,0.018980828734258454,0.018995104280186935,0.019013921756390568,0.019038071913550735,0.0190683530721068
2072,0.01893996628742731,0.018939968961398646,0.018939980253725414,0.0189400205930982,0.018940137664350785,0.01894042417837407,0.01894103670631615,0.018942212142725328,0.018944279042670677,0.018947662345894976,0.018952881299334624,0.01896054138093911,0.018971321605091084,0.01898595879373449,0.01900523033159873,0.019029936699525785,0.019060884787195233
2073,0.01891917032596527,0.018919173294680933,0.018919185724252097,0.018919229742341746,0.018919356554762377,0.018919664983125487,0.018920320849962566,0.018921573637922486,0.01892376763598497,0.018927346142074315,0.0189328486389364,0.018940901863338983,0.018952206252170152,0.018967519426687885,0.018987638281922514,0.0190133809986782,0.019045569983504422
2074,0.018908775081768633,0.018908778380273085,0.018908792070972128,0.018908840133061412,0.018908977575155656,0.0189093097675929,0.01891001237999325,0.0189113482123799,0.018913678107569505,0.01891746458023739,0.018923268194083985,0.018931737730848497,0.018943595741698373,0.018959621220611445,0.01898063101484891,0.01900746131187121,0.019040950210167416
