Wavelength,EWT_0.001,EWT_0.011,EWT_0.021,EWT_0.031,EWT_0.041
2324,0.016138181255699643,0.016063403694205468,0.01602560699277101,0.0160063615468165,0.01599649896231652
2325,0.016129273955184827,0.016053689567197084,0.0160156612666277,0.015996385291244183,0.01598655084938891
2326,0.01612105158386648,0.016044352820273885,0.01600592542765794,0.015986526828463063,0.015976669524586554
2327,0.016112182532150174,0.016034746280129797,0.0159960821448126,0.0159766293251243,0.01596677691879502
2328,0.016111045902340804,0.016033553309817213,0.015995171602494213,0.015976012954046853,0.01596638475715458
2329,0.016100838021878568,0.01602330559056702,0.01598502240620464,0.015965970658368286,0.015956424645745274
2330,0.016090281556538525,0.01601279933993888,0.015974703340136856,0.015955823709525616,0.0159464027256785
2331,0.016079734456529046,0.016002321224941433,0.01596441159637585,0.015945698170705246,0.01593639625712543
2332,0.016068531743569554,0.01599151210951084,0.015953953266334305,0.01593548933697157,0.01592634868539847
2333,0.016067156599654537,0.015990511487241576,0.01595330073593758,0.01593508748420514,0.015926109574073626
2334,0.01605407623914894,0.015978881800215807,0.015942487668476474,0.0159247283641358,0.015916000645036857
2335,0.01604381799167826,0.01596824921987646,0.0159319861517998,0.01591443884070466,0.015905886253706054
2336,0.016032374972022968,0.01595739598932649,0.01592154838696929,0.015904264929339752,0.01589587103923763
2337,0.016031684066893058,0.015956754345860455,0.015921090542460353,0.01590397114116595,0.015895692826836835
2338,0.01602056784000263,0.015946020864603137,0.01591069600737928,0.015893812898424547,0.015885683758288548
2339,0.01601867632531998,0.015944888941044198,0.015910043340512003,0.015893445262175305,0.015885479889927587
2340,0.01600722683321167,0.015933717982491824,0.015899312554349312,0.015883067093128818,0.01587533788379664
2341,0.01599707077607027,0.01592352026955601,0.01588921735176369,0.01587307655202964,0.015865423373819635
2342,0.015995215339930743,0.015922353567224563,0.015888528005204957,0.01587268373527663,0.015865204637715485
2343,0.01598564602456344,0.01591237354277704,0.0158785119781232,0.015862721393485265,0.01585530019969557
2344,0.01598528392934166,0.015911905125733528,0.015878154785746924,0.01586248897653561,0.01585515996039611
2345,0.015976013139867885,0.015902064316434875,0.015868207358484293,0.015852562305648583,0.015845275108478527
2346,0.015966101961214264,0.01589170919194887,0.015857923848836917,0.0158424351966859,0.015835276837171203
2347,0.015957138428496654,0.01588202362328221,0.015848059240524615,0.015832554837676094,0.01582541912813158
2348,0.01594877408156933,0.01587256056523035,0.015838276252216867,0.015822704118070557,0.015815572366335098
2349,0.015941654975998646,0.015863663587172325,0.015828755296564818,0.01581297695235513,0.015805785137389314
2350,0.015931805893453114,0.015853592730096837,0.015818726716183704,0.01580302980467736,0.01579590289884001
2351,0.015924046771688054,0.015844096594890313,0.015808801523597257,0.015793061593353152,0.01578598133191665
2352,0.01591735625997345,0.01583542574887128,0.015799404645598595,0.015783404693891397,0.015776235302661007
