Wavelength,DMC_0.001,DMC_0.002,DMC_0.003,DMC_0.004,DMC_0.005,DMC_0.006,DMC_0.007,DMC_0.008,DMC_0.009,DMC_0.01,DMC_0.011,DMC_0.012,DMC_0.013,DMC_0.014,DMC_0.015,DMC_0.016,DMC_0.017,DMC_0.018,DMC_0.019,DMC_0.02,DMC_0.021,DMC_0.022,DMC_0.023,DMC_0.024,DMC_0.025,DMC_0.026,DMC_0.027,DMC_0.028,DMC_0.029,DMC_0.03,DMC_0.031,DMC_0.032,DMC_0.033,DMC_0.034,DMC_0.035,DMC_0.036,DMC_0.037,DMC_0.038,DMC_0.039,DMC_0.04,DMC_0.041,DMC_0.042,DMC_0.043,DMC_0.044,DMC_0.045,DMC_0.046,DMC_0.047,DMC_0.048,DMC_0.049
410,0.042641262086127826,0.0426401097835573,0.04263911550317658,0.04263825736213018,0.0426375165410381,0.042636876849875924,0.04263632435621841,0.04263584706674932,0.04263543465429049,0.04263507822374891,0.04263477011135353,0.04263450371238094,0.04263427333327175,0.04263407406463859,0.042633901672175706,0.04263375250291456,0.042633623404639664,0.04263351165659476,0.04263341490987848,0.04263333113615894,0.04263325858353278,0.04263319573852229,0.04263314129334784,0.042633094117735214,0.042633053234623124,0.04263301779922564,0.04263298708098153,0.04263296044798857,0.04263293735357732,0.04263291732472764,0.042632899952072416,0.042632884881269324,0.04263287180555147,0.04263286045929451,0.04263285061246038,0.042632842065797115,0.042632834646690966,0.04263282820558153,0.042632822612862824,0.04263281775620387,0.042632813538231604,0.04263280987452672,0.04263280669188986,0.042632803926841406,0.042632801524323215,0.042632799436574845,0.04263279762216072,0.042632796045127784,0.04263279467427606
411,0.042575775346773426,0.042574691725914965,0.042573749101396476,0.04257292894601986,0.04257221519397877,0.04257159390981093,0.04257105300249366,0.04257058197843014,0.04257017172795577,0.042569814340747955,0.042569502946169374,0.04256923157512887,0.042568995040519655,0.042568788833702534,0.04256860903485213,0.04256845223528559,0.042568315470151726,0.04256819616008144,0.04256809206059175,0.04256800121820091,0.0425679219323538,0.04256785272237968,0.04256779229880951,0.04256773953847142,0.042567693462861156,0.04256765321935232,0.04256761806486966,0.042567587351699215,0.0425675605151529,0.04256753706284262,0.04256751656535215,0.04256749864812252,0.04256748298439199,0.04256746928905187,0.04256745731329868,0.04256744683997827,0.042567437679531694,0.042567429666464394,0.04256742265627053,0.042567416522753386,0.04256741115569029,0.04256740645879758,0.04256740234795654,0.04256739874966686,0.042567395599697896,0.042567392841912514,0.04256739042724111,0.042567388312786544,0.04256738646104322
412,0.042510406306784376,0.04250937775778719,0.04250847594455272,0.042507685095032,0.04250699142189077,0.04250638286963252,0.04250584889439424,0.04250538027212672,0.04250496893144391,0.04250460780792064,0.04250429071704572,0.04250401224340739,0.042503767644007505,0.04250355276387819,0.042503363962414276,0.0425031980490425,0.04250305222702881,0.042502924044381,0.0425028113509395,0.04250271226086691,0.04250262511984869,0.04250254847640641,0.042502481056801864,0.04250242174307742,0.042502369553836336,0.04250232362741743,0.04250228320716252,0.04250224762851362,0.04250221630771036,0.04250218873188694,0.04250216445039383,0.04250214306719101,0.04250212423417935,0.042502107645353226,0.04250209303167228,0.04250208015656318,0.04250206881197307,0.04250205881490672,0.0425020500043873,0.04250204223878872,0.04250203539349356,0.04250202935883666,0.04250202403829913,0.04250201934692209,0.04250201520991322,0.04250201156142242,0.04250200834346593,0.04250200550498085,0.04250200300099403
413,0.042432116155200865,0.04243112485321978,0.04243024927313547,0.042429475769427016,0.04242879232379192,0.04242818834864047,0.04242765451465903,0.0424271825994468,0.04242676535461006,0.04242639638902856,0.04242607006629635,0.04242578141459064,0.04242552604744076,0.042425300094060224,0.042425100138071825,0.04242492316360051,0.04242476650783661,0.042424627819282267,0.042424505020991765,0.04242439627820057,0.04242429996981292,0.04242421466328222,0.0424241390924758,0.04242407213816524,0.042424012810827354,0.042423960235478855,0.04242391363830182,0.04242387233484592,0.04242383571961969,0.04242380325690547,0.042423774472652775,0.042423748947321996,0.04242372630956612,0.04242370623065116,0.04242368841952828,0.042423672618480554,0.04242365859927694,0.04242364615977362,0.04242363512091039,0.042423625324055546,0.04242361662865867,0.042423608910175215,0.042423602058231105,0.04242359597499943,0.0424235905737645,0.04242358577765143,0.042423581518502035,0.04242357773588008,0.04242357437619083
414,0.04236697621306288,0.04236601566149145,0.042365161314192636,0.04236440130854475,0.04236372512210621,0.04236312341926183,0.04236258791567108,0.0423621112584181,0.04236168692001546,0.04236130910463513,0.04236097266513451,0.04236067302961604,0.04236040613640877,0.04236016837649201,0.042359956542497204,0.0423597677835259,0.04235959956511143,0.04235944963373077,0.04235931598534284,0.04235919683749015,0.042359090604555394,0.04235899587581147,0.042358911395945886,0.04235883604777705,0.04235876883691296,0.04235870887813139,0.04235865538328618,0.04235860765056669,0.04235856505495731,0.04235852703976155,0.04235849310907048,0.042358462821069406,0.0423584357820883,0.04235841164131262,0.04235839008608045,0.04235837083770027,0.042358353647731245,0.04235833829467425,0.04235832458102804,0.04235831233066966,0.042358301386523245,0.042358291608485095,0.042358282871576565,0.04235827506429962,0.04235826808717253,0.04235826185142588,0.04235825627784119,0.0423582512957163,0.04235824684194377
415,0.04230193477520674,0.04230099600270017,0.04230015561041292,0.04229940318169522,0.04229872941562553,0.04229812600594594,0.042297585533327214,0.042297101369471304,0.042296667591729536,0.04229627890706495,0.04229593058432012,0.04229561839386931,0.04229533855383771,0.04229508768216255,0.0422948627538523,0.0422946610628722,0.04229448018814833,0.042294317963239146,0.04229417244927327,0.042294041910797234,0.04229392479421616,0.04229381970854531,0.042293725408221745,0.042293640777752925,0.0422935648180033,0.042293496633942315,0.04229343542369591,0.0422933804687615,0.04229333112526117,0.04229328681612182,0.04229324702408278,0.0422932112854425,0.04229317918446533,0.04229315034837789,0.042293124442892314,0.04229310116820027,0.042293080255387756,0.042293061463226034,0.042293044575298824,0.04229302939743024,0.04229301575538158,0.04229300349278874,0.04229299246931472,0.04229298255899468,0.04229297364875332,0.042292965637076414,0.04229295843282031,0.042292951954145064,0.042292946127558066
416,0.04223692621919463,0.04223600827740006,0.04223518154694598,0.042234436869648555,0.042233766017669976,0.042233161597758216,0.04223261696549037,0.042232126148457054,0.042231683777440125,0.042231285024738455,0.04223092554888745,0.042230601445099124,0.04223030920082158,0.04223004565588107,0.04222980796672708,0.0422295935743519,0.04222940017550153,0.0422292256968356,0.042229068271729925,0.04222892621944775,0.042228798026434575,0.04222868232951718,0.042228577900810485,0.04222848363415637,0.04222839853293702,0.04222832169912178,0.04222825232342107,0.04222818967643413,0.04222813310068917,0.04222808200348477,0.04222803585045102,0.04222799415975728,0.042227956496900754,0.04222792247001707,0.042227891725660015,0.04222786394500299,0.04222783884041955,0.04222781615240483,0.04222779564680355,0.04222777711231371,0.042227760358238324,0.04222774521246026,0.0422277315196179,0.04222771913946141,0.04222770794537166,0.04222769782302554,0.04222768866919301,0.04222768039065283,0.04222767290321507
417,0.042184950867311465,0.04218405768607199,0.04218324868829598,0.04218251585554575,0.042181851942217276,0.042181250400055555,0.04218070531015422,0.04218021132168464,0.042179763596677376,0.04217935776024826,0.04217898985572346,0.04217865630417369,0.04217835386791757,0.042178079617598785,0.0421778309024817,0.042177605323646235,0.04217740070979477,0.04217721509541285,0.042177046701051546,0.04217689391552227,0.0421767552798162,0.04217662947257883,0.04217651529698734,0.042176411668893486,0.04217631760610835,0.04217623221871764,0.04217615470032718,0.04217608432014798,0.042176020415839656,0.0421759623870384,0.0421759096895034,0.0421758618298219,0.042175818360618844,0.042175778876222654,0.04217574300874312,0.04217571042452174,0.04217568082091891,0.0421756539234054,0.042175629482929314,0.04217560727353183,0.04217558709018828,0.042175568746852785,0.04217555207468725,0.04217553692045709,0.0421755231450778,0.04217551062229814,0.04217549923750687,0.04217548888665139,0.04217547947525773
418,0.0421199567145941,0.042119085816680134,0.04211829287388175,0.04211757083366336,0.042116913289197484,0.042116314419444745,0.04211576893487935,0.04211527202831909,0.04211481933037145,0.042114406869055335,0.042114031033200466,0.04211368853926534,0.04211337640124941,0.042113091903406265,0.04211283257549317,0.04211259617031748,0.042112380643363694,0.04211218413430539,0.0421120049502252,0.042111841550382716,0.04211169253238552,0.042111556619632305,0.04211143264990947,0.04211131956503374,0.04211121640144366,0.04211112228165187,0.0421110364064783,0.042110958047992184,0.04211088654309728,0.042110821287700946,0.04211076173141335,0.04211070737272798,0.04211065775463924,0.042110612460657046,0.042110571111181994,0.04211053336020819,0.04211049889232366,0.04211046741998132,0.04211043868101572,0.042110412436383284,0.04211038846810559,0.042110366577397404,0.0421103465829626,0.042110328319442746,0.04211031163600459,0.04211029639505386,0.042110282471063985,0.04211026974950933,0.042110258125893564
419,0.04206795134477957,0.04206711033491606,0.04206634073217559,0.04206563640816656,0.04206499176684014,0.04206440169761534,0.042063861532695423,0.042063367008194456,0.04206291422872797,0.04206249963515377,0.04206211997517797,0.04206177227656749,0.04206145382273429,0.04206116213047785,0.0420608949296922,0.0420606501448613,0.04206042587818293,0.042060220394175424,0.04206003210563517,0.04205985956082452,0.04205970143178074,0.04205955650364664,0.04205942366493215,0.04205930189862465,0.042059190274073004,0.04205908793957705,0.04205899411562043,0.042058908088690165,0.04205882920563145,0.04205875686849072,0.04205869052980423,0.042058629688293186,0.04205857388492989,0.04205852269934258,0.04205847574652939,0.042058432673854625,0.04205839315830271,0.042058356903967566,0.04205832363975687,0.04205829311729274,0.042058265108991744,0.04205823940630879,0.04205821581813076,0.042058194169306985,0.04205817429930473,0.04205815606097905,0.04205813931944704,0.04205812395105771,0.04205810984244908
