Wavelength	MAC_ARB_098_xx4_310321_L00001.asd
494	 7.05748034441882E-02 
495	 6.92322097759817E-02 
496	 6.93375460911413E-02 
497	 6.85942054328147E-02 
498	 6.77872794273513E-02 
499	 6.95146933101717E-02 
500	 6.99469301933484E-02 
501	 6.97300913164162E-02 
502	 6.99600747413028E-02 
503	 7.14428958530818E-02 
504	 7.17856209909582E-02 
505	 7.21036389505551E-02 
506	 7.41407312017565E-02 
507	 7.54091730637902E-02 
508	 7.56278680912864E-02 
509	 7.64017268130581E-02 
510	 0.080949799212082 
511	 8.10206443009116E-02 
512	 8.11748227312654E-02 
513	 8.53722295382361E-02 
514	 8.70800666977092E-02 
515	 8.83155576708644E-02 
516	 9.01414519609021E-02 
517	 9.28555016204699E-02 
518	 9.46511071620808E-02 
519	 9.70125285825681E-02 
520	 0.100078431540752 
521	 0.100955613946241 
522	 0.103276207802138 
523	 0.1067716440271 
524	 0.110121765739843 
525	 0.113564967047531 
526	 0.116754799705158 
527	 0.119348293040428 
528	 0.121096851636715 
529	 0.122761144525623 
530	 0.125287252365269 
531	 0.128263193823823 
532	 0.127360919399063 
533	 0.128781676348653 
534	 0.132191226504934 
535	 0.134043864050013 
536	 0.13400566921379 
537	 0.134926011545233 
538	 0.137351450563409 
539	 0.137940820361233 
540	 0.138863160548016 
541	 0.140203170858346 
542	 0.141536192984221 
543	 0.142970464063496 
544	 0.143814151495378 
545	 0.143776091223848 
546	 0.143058949449566 
547	 0.144113185365512 
548	 0.145441196206904 
549	 0.145898155311294 
550	 0.147216249423438 
551	 0.147467336871687 
552	 0.147054400386419 
553	 0.147273094937916 
554	 0.147091730019986 
555	 0.146810153584354 
556	 0.146587141466688 
557	 0.146214649561774 
558	 0.145545232620297 
559	 0.144623117214636 
560	 0.143667654835615 
561	 0.143383074192226 
562	 0.142398881165757 
563	 0.140781265118185 
564	 0.13974068530471 
565	 0.138392273064284 
566	 0.136560792043991 
567	 0.134537781230515 
568	 0.133542172758982 
569	 0.131999635282318 
570	 0.130086290915409 
571	 0.128638923706551 
572	 0.12705296338376 
573	 0.125698690702931 
574	 0.124457227924173 
575	 0.12243515875358 
576	 0.12084359312693 
577	 0.119539852281268 
578	 0.11820634638902 
579	 0.117412538589025 
580	 0.116835915871247 
581	 0.115980811397739 
582	 0.114364213764829 
583	 0.113271178544301 
584	 0.111972219651392 
585	 0.110356375260987 
586	 0.110535125767299 
587	 0.11007759160865 
588	 0.109164589795181 
589	 0.108768962629853 
590	 0.107696081060127 
591	 0.10666899481243 
592	 0.106118847788343 
593	 0.105936173580384 
594	 0.105398199512513 
595	 0.104922953509894 
596	 0.104823541722294 
597	 0.103801779336992 
598	 0.103911953244506 
599	 0.104614205150175 
600	 0.103757826258942 
601	 0.102860886379636 
602	 0.102307714926169 
603	 0.102078120184346 
604	 0.101722096585502 
605	 0.101063119167365 
606	 0.100555336895678 
607	 0.100545291091079 
608	 9.92468130683578E-02 
609	 9.81883060295483E-02 
610	 9.78197552693714E-02 
611	 9.71748892281751E-02 
612	 9.58352926078962E-02 
613	 9.44001613554498E-02 
614	 9.34983076824781E-02 
615	 9.30719333491346E-02 
616	 9.28815093162911E-02 
617	 9.22147113763337E-02 
618	 9.03737045188583E-02 
619	 8.93230318041224E-02 
620	 8.87767536817586E-02 
621	 8.84355844513934E-02 
622	 8.85331382161648E-02 
623	 8.82108101631016E-02 
624	 8.78740076697404E-02 
625	 8.80104377505303E-02 
626	 8.73306514075898E-02 
627	 8.67407695365228E-02 
628	 8.67160671346789E-02 
629	 8.71887063425313E-02 
630	 8.72569025861993E-02 
631	 8.70270712463927E-02 
632	 8.67699272550157E-02 
633	 0.086586398363776 
634	 8.64261011099414E-02 
635	 8.62896003113259E-02 
636	 8.61346911921357E-02 
637	 8.55042523869518E-02 
638	 8.47146954191455E-02 
639	 8.37696850520946E-02 
640	 8.21248424838458E-02 
641	 8.16071692941588E-02 
642	 8.09769324472504E-02 
643	 7.90435668279975E-02 
644	 7.81312727827528E-02 
645	 7.72733919552375E-02 
646	 7.64118442087906E-02 
647	 7.60972713321543E-02 
648	 7.54084068636786E-02 
649	 7.47027206757773E-02 
650	 7.41615423728828E-02 
