Wavelength	MAC_ARB_098_044_210422_L00001.asd
475	 6.10476626972778E-02 
476	 5.91458693106831E-02 
477	 5.86889449285083E-02 
478	 5.98745252984753E-02 
479	 6.21408267422907E-02 
480	 6.23875463888562E-02 
481	 5.60926666517628E-02 
482	 5.61417796438683E-02 
483	 5.83054904311503E-02 
484	 0.058253333269976 
485	 6.01043823716613E-02 
486	 6.07155679130409E-02 
487	 5.98322461961147E-02 
488	 5.87989452188268E-02 
489	 5.97969039566676E-02 
490	 6.11067216939241E-02 
491	 6.11048541058413E-02 
492	 5.87923348466654E-02 
493	 5.97070761045205E-02 
494	 6.17273246939695E-02 
495	 6.17285655548715E-02 
496	 6.11742319477641E-02 
497	 5.90324657781774E-02 
498	 5.68003034379016E-02 
499	 5.73989452071481E-02 
500	 5.86450185433804E-02 
501	 5.87680852879274E-02 
502	 5.79603909486621E-02 
503	 6.02451388339617E-02 
504	 6.20779241053296E-02 
505	 6.26588104771815E-02 
506	 6.23713113157367E-02 
507	 0.062227605804364 
508	 6.20357428658609E-02 
509	 6.22495689332978E-02 
510	 6.40225111415692E-02 
511	 6.44866180692178E-02 
512	 0.064584761052476 
513	 0.065336151595927 
514	 6.51619033884977E-02 
515	 6.60900051482435E-02 
516	 6.74789361138999E-02 
517	 6.74818791557327E-02 
518	 6.86193934705862E-02 
519	 6.96830011582962E-02 
520	 7.02797356851655E-02 
521	 7.21653622955239E-02 
522	 7.36796251840305E-02 
523	 7.45596115119087E-02 
524	 7.51421673310044E-02 
525	 7.62348453842163E-02 
526	 7.71677186751163E-02 
527	 7.81916950801111E-02 
528	 8.03489003885579E-02 
529	 0.081301716899738 
530	 8.21081756915189E-02 
531	 8.35994468852487E-02 
532	 8.41423174095566E-02 
533	 8.50163667531762E-02 
534	 8.60162040074491E-02 
535	 8.63536528678144E-02 
536	 8.68466648854227E-02 
537	 0.087577080714842 
538	 8.84752375160868E-02 
539	 8.93878391885792E-02 
540	 8.98601115243153E-02 
541	 8.99603772930211E-02 
542	 9.00673668577921E-02 
543	 9.10860572487589E-02 
544	 0.092059883695939 
545	 9.23249093264825E-02 
546	 9.16455833597695E-02 
547	 9.19502065909135E-02 
548	 9.21818445565246E-02 
549	 9.17243339003487E-02 
550	 9.26312779617752E-02 
551	 9.21615781511675E-02 
552	 9.13073928149112E-02 
553	 9.22667865098529E-02 
554	 9.18287910485618E-02 
555	 9.17419787887642E-02 
556	 9.23243403446218E-02 
557	 0.091191756173112 
558	 9.02323724566221E-02 
559	 9.00125782811934E-02 
