Wavelength	TRI_ARB_099_264_210422_L00003.asd
515	 0.114507084977845 
516	 0.116363723648875 
517	 0.117763440414186 
518	 0.118793991804986 
519	 0.120341930529655 
520	 0.122480387781054 
521	 0.123817767206872 
522	 0.124245494792585 
523	 0.124902251106924 
524	 0.126717345890919 
525	 0.127444638764041 
526	 0.128848160051112 
527	 0.131195419890174 
528	 0.133215319617386 
529	 0.134044597609038 
530	 0.134790935887496 
531	 0.136182348491917 
532	 0.136861335944926 
533	 0.137406936009533 
534	 0.138041294095316 
535	 0.138818343650029 
536	 0.139930558978678 
537	 0.140324701602294 
538	 0.140042890699986 
539	 0.14093546467167 
540	 0.141302605667748 
541	 0.141555591259734 
542	 0.142317581331314 
543	 0.142426834065186 
544	 0.142444791268286 
545	 0.142784977102927 
546	 0.143618084594255 
547	 0.143929010772026 
548	 0.144063555139766 
549	 0.144278111615322 
550	 0.143923288918728 
551	 0.143483817333485 
552	 0.143524019007617 
553	 0.144255068720719 
554	 0.142967058961958 
555	 0.141923477658549 
556	 0.141976372604958 
557	 0.141293925802009 
558	 0.140572144451812 
559	 0.139678174690524 
560	 0.138563948427349 
561	 0.13840385942787 
562	 0.137835537686992 
563	 0.136721035216643 
564	 0.135957739176222 
565	 0.135280091103036 
566	 0.134268599228616 
567	 0.132971146320393 
568	 0.132652802160726 
569	 0.132425857050921 
570	 0.131594902165534 
571	 0.129919974481637 
572	 0.12986131008899 
573	 0.129376283236873 
574	 0.127696355501682 
575	 0.126344887267877 
576	 0.12533207629778 
577	 0.124753525034236 
578	 0.124499189713436 
579	 0.123859719098474 
580	 0.122914965593728 
581	 0.122107473053234 
582	 0.122013808209013 
583	 0.121139913861856 
584	 0.120130816392794 
585	 0.119619824030009 
586	 0.119569785631213 
587	 0.118629644378481 
588	 0.117468288475213 
589	 0.117394659853037 
590	 0.117900135490298 
591	 0.118058075808527 
592	 0.117402341152937 
593	 0.116082208557026 
594	 0.115989695139292 
595	 0.115869296846009 
596	 0.114706296264295 
597	 0.115387524064877 
598	 0.115918711671623 
599	 0.115825116540969 
600	 0.115688144466307 
601	 0.114902113645187 
602	 0.11440354159605 
603	 0.114406775893547 
604	 0.113162635494347 
605	 0.113250055672741 
606	 0.11364121692095 
607	 0.112521021729003 
608	 0.111744703153365 
609	 0.111375419667539 
610	 0.111031642222435 
611	 0.110010596852683 
612	 0.109910196552783 
613	 0.109781656197043 
614	 0.108758880096792 
615	 0.108003408931569 
616	 0.10751961892276 
617	 0.10705507469526 
618	 0.106324046801101 
619	 0.106485362665001 
620	 0.106579432022697 
621	 0.106174291938797 
622	 0.106187379034201 
623	 0.105848595590272 
624	 0.105333243697915 
625	 0.105100009314395 
626	 0.105548831964467 
627	 0.10505769708025 
628	 0.103833593845357 
629	 0.103798018788618 
630	 0.104460371519812 
631	 0.104601727937481 
632	 0.103851893943112 
633	 0.104504580140508 
634	 0.104609471871964 
635	 0.103927777510376 
636	 0.103153247879541 
637	 0.103309835071558 
638	 0.103153840310166 
639	 0.102328121593313 
640	 0.101991851622467 
641	 0.101858910509725 
642	 0.101670024090111 
643	 0.101367512875567 
644	 0.10184868331677 
645	 0.101313243992339 
646	 0.100071536823984 
647	 9.98603760111665E-02 
648	 9.93601058081226E-02 
649	 9.88198819425988E-02 
650	 9.86254183566704E-02 
651	 9.90582650633133E-02 
652	 9.91957686273047E-02 
653	 9.85758629026015E-02 
654	 9.73179147521041E-02 
655	 0.09737161222462 
656	 9.75562585208935E-02 
657	 9.72216714174236E-02 
658	 9.64951806010589E-02 
659	 9.63986946547079E-02 
660	 9.62284935093178E-02 
661	 9.54937815032873E-02 
662	 9.52935271527895E-02 
663	 9.52746340422129E-02 
664	 9.51023625400845E-02 
665	 9.45575166548684E-02 
666	 9.43978203945818E-02 
667	 9.38786332711036E-02 
668	 9.30616915719664E-02 
669	 9.32767149655423E-02 
670	 9.37229491367838E-02 
671	 9.38645355151657E-02 
672	 9.35765291591143E-02 
673	 9.38693721424447E-02 
674	 9.46641094080698E-02 
675	 9.54081960629092E-02 
676	 9.53960451856773E-02 
677	 9.58424841266679E-02 
678	 9.65642773681755E-02 
679	 9.71322752470286E-02 
680	 9.69687212468213E-02 
681	 9.75029386843674E-02 
682	 9.84644951255415E-02 
683	 9.92263277560219E-02 
684	 0.100474315651884 
685	 0.101086264120553 
686	 0.10130622485425 
687	 0.102497769454546 
688	 0.103616319953587 
689	 0.104558832765402 
690	 0.105660652921344 
691	 0.10801201459158 
692	 0.109520099831812 
693	 0.111014550249653 
694	 0.114065054891202 
695	 0.117601954789559 
696	 0.120942492270942 
697	 0.124321064010975 
698	 0.12880751427873 
699	 0.13377829318932 
700	 0.139499902162443 
701	 0.145790643050178 
702	 0.150786989616072 
703	 0.156996265439016 
704	 0.164304144104319 
705	 0.171513916015978 
706	 0.178815834148467 
707	 0.186546990433415 
708	 0.19468079260041 
709	 0.202750165577349 
710	 0.210992051283872 
711	 0.219374239057362 
712	 0.228042334399643 
713	 0.237937417733166 
714	 0.247196652329273 
715	 0.256118283050081 
716	 0.265906106552061 
717	 0.275919914028816 
718	 0.285869304511697 
719	 0.295716267794573 
720	 0.305719504974184 
721	 0.315890413344798 
722	 0.326071472629937 
723	 0.336041614321418 
724	 0.345611248804119 
725	 0.355192777689255 
726	 0.36480399424035 
727	 0.374185636846775 
728	 0.383043256480374 
729	 0.391422485939854 
730	 0.399469291118575 
731	 0.407427009873392 
732	 0.415041936665715 
733	 0.421919327994094 
734	 0.428117239963144 
735	 0.435140217803198 
