Wavelength	MCL_ARB_055_234_210422_L00002.asd
545	 0.126164633354872 
546	 0.125882272872428 
547	 0.126004203142375 
548	 0.12641285683519 
549	 0.126839971991275 
550	 0.127059817739196 
551	 0.127166311700882 
552	 0.127278139222503 
553	 0.127404501838938 
554	 0.126551997343667 
555	 0.126064050192026 
556	 0.126234453142393 
557	 0.125561216846211 
558	 0.124689002291383 
559	 0.123499460810443 
560	 0.122000591148538 
561	 0.121483128454651 
562	 0.120648348340069 
563	 0.119380012974699 
564	 0.118538214039384 
565	 0.117514822241726 
566	 0.116485397723158 
567	 0.115441834240585 
568	 0.113541737313762 
569	 0.111794800004486 
570	 0.110768211176097 
571	 0.110524007488282 
572	 0.10917255104385 
573	 0.10778774248268 
574	 0.106801729362752 
575	 0.105380550147501 
576	 0.104539627292222 
577	 0.103558846800907 
578	 0.101850203419986 
579	 0.101183032175393 
580	 0.100939189635244 
581	 0.100680828583503 
582	 0.100152274095372 
583	 9.91608706845007E-02 
584	 9.78292667709052E-02 
585	 9.66065912880821E-02 
586	 9.65859633072221E-02 
587	 9.66238985379051E-02 
588	 9.61483252442446E-02 
589	 9.50652711429419E-02 
590	 9.46456246087973E-02 
591	 9.48864289919118E-02 
592	 9.52737342891226E-02 
593	 9.48257718185026E-02 
594	 9.38468843450626E-02 
595	 9.31575011039085E-02 
596	 9.31779927342176E-02 
597	 9.23828023113755E-02 
598	 9.23376051733663E-02 
599	 9.27216690595744E-02 
600	 9.20626669701229E-02 
601	 9.18373521005177E-02 
602	 0.091755975070584 
603	 9.14740970430912E-02 
604	 9.10667764903326E-02 
605	 9.00366468148844E-02 
606	 8.91532730708531E-02 
607	 8.92471000261927E-02 
608	 8.85983033125846E-02 
609	 8.83524978355526E-02 
610	 8.84215120251071E-02 
611	 8.72429657140806E-02 
612	 8.64532685966486E-02 
613	 8.63972239457636E-02 
614	 8.66289458089831E-02 
615	 8.51854480505153E-02 
616	 0.084335453201104 
617	 8.41695940703472E-02 
618	 0.083534517741377 
619	 8.26915559061442E-02 
620	 8.24379849386172E-02 
621	 8.28705349017037E-02 
622	 8.28311162248909E-02 
623	 8.22774589668441E-02 
624	 0.081637533739136 
625	 8.13988410671379E-02 
626	 8.13124055891883E-02 
627	 8.13878760807883E-02 
628	 8.17678624611179E-02 
629	 8.26218683263791E-02 
630	 8.21309927678788E-02 
631	 8.14431069320276E-02 
632	 8.14811523069751E-02 
633	 8.08999155525316E-02 
634	 8.14477450535571E-02 
635	 8.19280876339001E-02 
636	 8.02760354509899E-02 
637	 7.92756614294635E-02 
638	 7.92394009068853E-02 
639	 7.96549879253283E-02 
640	 7.92470035615367E-02 
641	 7.83659545895586E-02 
642	 7.75331371435875E-02 
643	 7.70398131244241E-02 
644	 0.075974987656301 
645	 7.53754407542783E-02 
646	 7.51603887747319E-02 
647	 7.45457631257053E-02 
648	 7.50172292168429E-02 
649	 7.51241739745619E-02 
650	 7.42912348182606E-02 
651	 7.45972075724942E-02 
652	 7.40878387684663E-02 
653	 7.32233329918872E-02 
654	 7.30363881991087E-02 
655	 7.25900239525983E-02 
656	 7.25619140876528E-02 
657	 7.26894143146388E-02 
658	 7.17582539564675E-02 
659	 7.13571080816808E-02 
660	 7.11097193933894E-02 
661	 7.06684694605921E-02 
662	 7.10310655539096E-02 
663	 0.070501086936215 
664	 6.97090931514267E-02 
665	 7.00994056186998E-02 
666	 6.95907535365235E-02 
667	 0.069219983235829 
668	 6.94091108132341E-02 
669	 6.93376125389139E-02 
670	 6.97241728016833E-02 
671	 6.98559021353675E-02 
672	 6.92770555953277E-02 
673	 6.97467538799653E-02 
674	 7.04249760337194E-02 
675	 7.09155856070758E-02 
676	 7.11824870722234E-02 
677	 7.13704597526799E-02 
678	 7.17235195004512E-02 
679	 7.22586320830261E-02 
680	 7.25674434276888E-02 
681	 7.31373486009861E-02 
682	 7.39219875648771E-02 
683	 7.46851456000918E-02 
684	 7.51697134355652E-02 
685	 7.59032796381481E-02 
686	 0.076997363332041 
687	 7.81943916248437E-02 
688	 7.98694357370946E-02 
689	 8.09737680900876E-02 
690	 8.15820581365867E-02 
