Wavelength	MAC_ARB_098_334_210602_L00004.asd
432	 5.79269391039479E-02 
433	 0.058070080499486 
434	 5.77909129932269E-02 
435	 5.67485568749719E-02 
436	 5.65237441999227E-02 
437	 5.80499221582632E-02 
438	 5.83116519988768E-02 
439	 0.056828152067815 
440	 5.58757296160461E-02 
441	 5.88006912944971E-02 
442	 5.87138477183149E-02 
443	 5.82843528805983E-02 
444	 5.88620309186553E-02 
445	 5.66631668233543E-02 
446	 5.59652650530028E-02 
447	 5.72899772390469E-02 
448	 5.95171681573135E-02 
449	 6.07008243591719E-02 
450	 6.01884876408552E-02 
451	 5.95435532199862E-02 
452	 6.19564507978527E-02 
453	 6.20927339397962E-02 
454	 6.16860678586909E-02 
455	 6.22308313377739E-02 
456	 6.12364988822424E-02 
457	 5.99710563885367E-02 
458	 5.91906573633592E-02 
459	 5.93089098113629E-02 
460	 6.00082193581362E-02 
461	 6.06360919121455E-02 
462	 0.060702811129115 
463	 5.99473877160931E-02 
464	 6.10664401653433E-02 
465	 6.13667922513974E-02 
466	 5.90864982241131E-02 
467	 6.04499737092307E-02 
468	 6.02263448474533E-02 
469	 5.83023160221039E-02 
470	 5.77505997057872E-02 
471	 5.79593641418835E-02 
472	 5.89057306388569E-02 
473	 6.03726973666421E-02 
474	 6.19022987572357E-02 
475	 6.14317433873244E-02 
476	 6.01889328482341E-02 
477	 6.02447863132723E-02 
478	 6.20601600782544E-02 
479	 6.16283148536246E-02 
480	 5.96149454084498E-02 
481	 6.08009027355963E-02 
482	 6.06972445801704E-02 
483	 6.02516834441894E-02 
484	 6.09055395084127E-02 
485	 6.33628503228402E-02 
486	 6.17164539519354E-02 
487	 5.87293509443153E-02 
488	 6.00120696419088E-02 
489	 5.91178649203312E-02 
490	 5.97701526431346E-02 
491	 6.22188515129701E-02 
492	 0.06108668445144 
493	 6.05395176727239E-02 
494	 6.12418454684335E-02 
495	 6.23954314340796E-02 
496	 6.14276725335155E-02 
497	 6.03308839538143E-02 
498	 6.03927968426742E-02 
499	 0.062075581459576 
500	 6.31903746033085E-02 
501	 6.35342094723435E-02 
502	 6.36655507357794E-02 
503	 6.50364145691988E-02 
504	 0.066047042103486 
505	 6.68273390573796E-02 
506	 6.80217397013092E-02 
507	 6.95668808614005E-02 
508	 6.99626034878069E-02 
509	 6.93169120288642E-02 
510	 6.95066080731089E-02 
511	 7.15192736911322E-02 
512	 7.39378656653632E-02 
513	 7.52354234134486E-02 
514	 0.075171340423202 
515	 7.62460973851391E-02 
516	 7.80815370992913E-02 
517	 7.88629289069133E-02 
518	 8.04527011845334E-02 
519	 8.26012761998162E-02 
520	 8.44263857618101E-02 
521	 8.42233231704579E-02 
522	 8.62983964028112E-02 
523	 8.94327498417177E-02 
524	 9.12185332912194E-02 
525	 9.28422871655255E-02 
526	 9.56550064240941E-02 
